Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Dosa,1,1,0,Veg,165,6,4,1.8,150,50,300,100,30,0,1
Idli,1,1,0,Veg,140,2,3,1.2,100,30,250,90,28,0,0.5
Poha,1,0,0,Veg,130,1.5,2.6,3.16,1,201,117,26.9,1.1,0,0.5
Paneer Tikka,1,1,0,Veg,265,20,15,2,200,300,500,250,5,1.2,4
Dal Tadka,0,1,1,Veg,180,10,12,2.5,150,120,400,200,22,0,3
Butter Chicken,0,1,1,Non-Veg,490,30,35,3.2,250,100,700,300,10,0,5
Chole Bhature,0,1,1,Veg,450,25,20,4.1,220,200,800,350,15,0,6
Dosa,1,1,0,Veg,165,6,4,1.8,150,50,300,100,30,0,1
Idli,1,1,0,Veg,140,2,3,1.2,100,30,250,90,28,0,0.5
Sambhar,0,1,1,Veg,120,5,6,1.5,120,50,400,150,20,0,2
Pani Puri,0,1,1,Veg,300,10,5,2.1,110,60,500,200,35,0,3
Rajma Chawal,0,1,1,Veg,350,8,10,3,200,80,500,300,40,0,4
Palak Paneer,1,1,1,Veg,144,7.9,5.9,0.88,331,90,104,45,9.1,1,7
Aloo Paratha,1,1,1,Veg,384,5.5,2.3,1.84,117,149,347,23,4.9,2,5.5
Poha,1,0,1,Non-Veg,213,16.2,13.9,1.54,299,75,435,49,5.4,0.5,8.1
Upma,1,1,1,Veg,276,11,7.4,2.65,155,506,330,41,1.9,1.7,0.2
Biryani,1,0,0,Veg,344,7.2,5.9,1.03,77,389,439,11,7.4,0.2,7.4
Kadhi Pakora,0,0,1,Non-Veg,200,14.5,21.5,1.57,397,548,299,60,1.3,0.2,7.3
Dhokla,1,0,0,Veg,477,26.4,22,0.64,378,345,229,34,3.2,0.1,3.7
Misal Pav,1,1,0,Non-Veg,187,16.1,12.1,1.2,202,170,328,25,2.1,0.8,3.6
Vada Pav,0,1,0,Non-Veg,428,22.9,9.8,3.52,157,712,417,56,5.6,0.5,9.4
Baingan Bharta,0,1,1,Non-Veg,319,6.8,23.2,1.17,368,552,168,57,6.7,1.2,6.2
Matar Paneer,0,0,1,Veg,219,22.6,5.5,1.77,375,584,495,50,8.1,1.4,9
Roti,1,0,0,Veg,393,22.6,22.8,0.99,297,621,387,10,5.4,0.9,0.4
Naan,0,1,0,Non-Veg,119,24.1,8.9,2.6,219,749,393,32,2.6,1.1,6.3
Thepla,0,1,0,Veg,452,4,6.6,4.97,300,364,285,18,6.9,0.8,6.9
Litti Chokha,0,0,1,Veg,328,20.2,7,4.49,89,179,108,26,4.6,0.6,8.6
Pav Bhaji,0,0,1,Veg,444,28.5,3.5,4.25,64,479,243,29,6.6,1.6,4
Kheer,0,1,0,Non-Veg,100,27.5,3.7,2.68,70,129,363,20,8.8,0.6,3.6
Gajar Halwa,1,0,0,Veg,411,20.6,8.6,0.92,239,789,445,13,4.5,0.2,2.3
Jalebi,0,1,1,Veg,109,18.7,18.8,0.5,279,677,303,37,9.4,0.6,7.1
Rasgulla,0,0,0,Non-Veg,159,21.4,22.7,4.15,221,797,320,33,2.7,0.8,1.8
Gulab Jamun,0,0,1,Veg,190,22.3,23,4.1,303,278,464,16,8.3,1.4,8
Malai Kofta,1,0,1,Non-Veg,351,25.8,13.3,1.76,188,212,260,26,8.4,1.8,8
Pongal,0,1,1,Veg,447,20,2.4,2.12,269,86,112,45,8.4,0.3,8.1
Dahi Puri,0,0,0,Non-Veg,462,14.3,20.7,2.18,398,345,127,15,7.2,0.5,4
Bhindi Masala,0,1,1,Non-Veg,408,11.8,14.4,2.62,216,235,402,51,9.9,0.9,7.4
Aloo Gobi,0,0,0,Non-Veg,268,19.4,6.8,2.87,127,104,199,41,8.9,1.9,2.9
Keema,1,1,0,Veg,107,22.6,18.6,4.95,175,360,125,59,5.6,1.5,8.4
Fish Curry,0,1,0,Non-Veg,141,20,23.6,0.6,71,520,489,23,4.4,0.4,9.3
Tandoori Chicken,0,1,1,Non-Veg,184,22.3,12.7,1.81,260,203,354,34,7.1,1.1,0.2
Pesarattu,0,1,0,Non-Veg,220,27.5,10.6,2.94,88,615,307,27,5.9,0.3,2.8
Makki di Roti,0,0,0,Non-Veg,270,7.1,15.2,1.29,119,404,251,16,3.9,0.6,4.9
